,الشركة,السهم,القطاع,آخر سعر,نسبة التغيير,آخر تحديث
66,جازادكو,6090,إنتاج الأغذية,12.22,-0.65%,06 أغسطس 2019
67,الإستثمار,1030,البنوك,17.86,-1.65%,06 أغسطس 2019
68,صدق,2130,السلع طويلة الاجل,8.07,0.88%,06 أغسطس 2019
69,التعاونية,8010,التأمين,71.4,-0.83%,06 أغسطس 2019
70,إتحاد إتصالات,7020,الإتصالات,24.8,2.06%,06 أغسطس 2019
71,البلاد,1140,البنوك,29.1,0.17%,06 أغسطس 2019
72,سدافكو,2270,إنتاج الأغذية,124,1.97%,06 أغسطس 2019
73,الصحراء,2260,المواد الأساسية,17.46,1.16%,16 مايو 2019
74,المراعي,2280,إنتاج الأغذية,49.15,-0.71%,06 أغسطس 2019
75,ينساب,2290,المواد الأساسية,55.9,-1.06%,06 أغسطس 2019
76,الدريس,4200,الطاقة,41.05,1.74%,06 أغسطس 2019
77,الأبحاث والتسويق,4210,الإعلام والترفيه,89.9,-0.11%,06 أغسطس 2019
78,صناعة الورق,2300,المواد الأساسية,8.54,0.47%,06 أغسطس 2019
79,سبكيم العالمية,2310,المواد الأساسية,19.5,-0.31%,06 أغسطس 2019
80,جرير,4190,تجزئة السلع الكمالية,166,0.48%,06 أغسطس 2019
81,كهرباء السعودية,5110,المرافق العامة,19.36,-1.12%,06 أغسطس 2019
82,الإتصالات,7010,الإتصالات,108.4,0.37%,06 أغسطس 2019
83,الأسماك,6050,إنتاج الأغذية,51,-0.59%,06 أغسطس 2019
84,الشرقية للتنمية,6060,إنتاج الأغذية,44,1.85%,06 أغسطس 2019
85,الجوف,6070,إنتاج الأغذية,22.44,0.00%,06 أغسطس 2019
86,جازادكو,6090,إنتاج الأغذية,12.22,-0.65%,06 أغسطس 2019
87,الإستثمار,1030,البنوك,17.86,-1.65%,06 أغسطس 2019
88,صدق,2130,السلع طويلة الاجل,8.07,0.88%,06 أغسطس 2019
89,التعاونية,8010,التأمين,71.4,-0.83%,06 أغسطس 2019
90,إتحاد إتصالات,7020,الإتصالات,24.8,2.06%,06 أغسطس 2019
91,البلاد,1140,البنوك,29.1,0.17%,06 أغسطس 2019
92,سدافكو,2270,إنتاج الأغذية,124,1.97%,06 أغسطس 2019
93,الصحراء,2260,المواد الأساسية,17.46,1.16%,16 مايو 2019
94,المراعي,2280,إنتاج الأغذية,49.15,-0.71%,06 أغسطس 2019
95,ينساب,2290,المواد الأساسية,55.9,-1.06%,06 أغسطس 2019
96,الدريس,4200,الطاقة,41.05,1.74%,06 أغسطس 2019
97,الأبحاث والتسويق,4210,الإعلام والترفيه,89.9,-0.11%,06 أغسطس 2019
98,صناعة الورق,2300,المواد الأساسية,8.54,0.47%,06 أغسطس 2019
99,سبكيم العالمية,2310,المواد الأساسية,19.5,-0.31%,06 أغسطس 2019
100,إعمار,4220,إدارة وتطوير العقارات,10.2,-0.78%,06 أغسطس 2019
101,الحكير,4240,تجزئة السلع الكمالية,20.94,-0.57%,06 أغسطس 2019
102,المتقدمة,2330,المواد الأساسية,56.8,-0.18%,06 أغسطس 2019
103,العبداللطيف,2340,السلع طويلة الاجل,11.44,-1.72%,06 أغسطس 2019
104,البابطين,2320,السلع الرأسمالية,22.8,-0.44%,06 أغسطس 2019
105,البحر الأحمر,4230,إدارة وتطوير العقارات,13.64,-1.02%,06 أغسطس 2019
106,ميدغلف للتأمين,8030,التأمين,14.08,-2.49%,06 أغسطس 2019
107,كيان السعودية,2350,المواد الأساسية,11.18,-0.18%,06 أغسطس 2019
108,ملاذ للتأمين,8020,التأمين,9.84,-1.80%,06 أغسطس 2019
109,ولاء,8060,التأمين,14.12,-3.95%,06 أغسطس 2019
110,الدرع العربي,8070,التأمين,15.56,-2.99%,06 أغسطس 2019
111,ساب للتكافل,8080,التأمين,16.4,-1.32%,06 أغسطس 2019
112,أليانز إس إف,8040,التأمين,24.9,2.47%,06 أغسطس 2019
113,جبل عمر,4250,إدارة وتطوير العقارات,26.9,-0.56%,06 أغسطس 2019
114,إتحاد الخليج,8120,التأمين,11.2,-0.89%,06 أغسطس 2019
115,الأهلي للتكافل,8130,التأمين,25.4,4.27%,06 أغسطس 2019
116,سايكو,8100,التأمين,11.1,2.40%,06 أغسطس 2019
117,وفا للتأمين,8110,9.5,-5.75%,11 نوفمبر 2018,الأهلية
118,8140,التأمين,9.13,-2.87%,06 أغسطس 2019,أسيج
119,8150,التأمين,15.04,-0.40%,06 أغسطس 2019,06 أغسطس 2019
120,الفخارية,2360,السلع الرأسمالية,44.2,0.23%,06 أغسطس 2019
121,طباعة وتغليف,4270,الخدمات التجارية والمهنية,12.94,-0.46%,06 أغسطس 2019
122,سلامة,8050,التأمين,12.3,-0.16%,06 أغسطس 2019
123,بدجت السعودية,4260,النقل,34.2,0.59%,06 أغسطس 2019
124,المملكة,4280,الإستثمار والتمويل,7.9,1.41%,06 أغسطس 2019
125,الإتحاد التجاري,8170,التأمين,14.46,-2.30%,06 أغسطس 2019
126,الصقر للتأمين,8180,التأمين,10.24,-1.54%,06 أغسطس 2019
127,التأمين العربية,8160,التأمين,17.2,-2.72%,06 أغسطس 2019
128,الخليج للتدريب,4290,الخدمات الإستهلاكية,13.08,-5.22%,06 أغسطس 2019
129,مسك,2370,السلع الرأسمالية,10.5,-0.57%,06 أغسطس 2019
130,دار الأركان,4300,إدارة وتطوير العقارات,11.1,0.91%,06 أغسطس 2019
131,بترو رابغ,2380,الطاقة,19.4,0.73%,06 أغسطس 2019
132,زين السعودية,7030,الإتصالات,13.86,-0.86%,06 أغسطس 2019
133,الإنماء,1150,البنوك,24.34,0.08%,06 أغسطس 2019
134,بوبا العربية,8210,التأمين,100,-0.79%,06 أغسطس 2019
135,المتحدة للتأمين,8190,التأمين,9.03,-3.22%,06 أغسطس 2019
136,الإعادة السعودية,8200,التأمين,8.62,0.47%,06 أغسطس 2019
137,بي سي آي,1210,المواد الأساسية,21.68,-0.28%,06 أغسطس 2019
138,حلواني إخوان,6001,إنتاج الأغذية,36.25,4.02%,06 أغسطس 2019
139,أسواق ع العثيم,4001,تجزئة الأغذية,79.5,-1.00%,28 يونيو 2018
140,عذيب للإتصالات,7040,الإتصالات,5.35,-0.93%,06 أغسطس 2019
141,معادن,1211,المواد الأساسية,46.1,-1.60%,06 أغسطس 2019
142,كيمانول,2001,المواد الأساسية,8.1,-0.61%,06 أغسطس 2019
143,أسترا الصناعية,1212,السلع الرأسمالية,15.3,0.53%,06 أغسطس 2019
144,بتروكيم,2002,المواد الأساسية,23,-0.52%,06 أغسطس 2019
145,مدينة المعرفة,4310,إدارة وتطوير العقارات,9.9,0.51%,06 أغسطس 2019
146,هرفي للأغذية,6002,الخدمات الإستهلاكية,52.5,0.58%,06 أغسطس 2019
147,أسمنت الجوف,3091,المواد الأساسية,8.1,-0.61%,06 أغسطس 2019
148,أسمنت حائل,3001,المواد الأساسية,8.94,-1.11%,06 أغسطس 2019
149,أسمنت نجران,3002,المواد الأساسية,8.49,-0.47%,06 أغسطس 2019
150,التموين,6004,الخدمات التجارية والمهنية,89,-1.66%,06 أغسطس 2019
151,سوليدرتي تكافل,8290,التأمين,13.42,-0.74%,06 أغسطس 2019
152,اكسا التعاونية,8250,التأمين,25.6,-0.39%,06 أغسطس 2019
153,تْشب,8240,التأمين,22.72,-2.91%,06 أغسطس 2019
154,تكافل الراجحي,8230,التأمين,56.5,1.80%,06 أغسطس 2019
155,بروج للتأمين,8270,التأمين,18.08,-5.64%,06 أغسطس 2019
156,أنابيب السعودية,1320,المواد الأساسية,21,-0.10%,06 أغسطس 2019
157,الخليجية العامة,8260,التأمين,11.58,-0.34%,06 أغسطس 2019
158,العالمية,8280,التأمين,20.9,-0.38%,06 أغسطس 2019
159,المواساة,4002,الرعاية الصحية,87.4,1.04%,06 أغسطس 2019
160,شاكر,1214,تجزئة السلع الكمالية,8.14,-0.25%,06 أغسطس 2019
161,مجموعة السريع,1213,السلع طويلة الاجل,9.85,9.93%,06 أغسطس 2019
162,أمانة للتأمين,8310,التأمين,11.06,-1.78%,06 أغسطس 2019
163,الوطنية,8300,التأمين,18.94,-3.66%,29 أبريل 2019
164,الخضري,1330,السلع الرأسمالية,5.39,-6.26%,06 أغسطس 2019
165,أسلاك,1301,المواد الأساسية,14.8,-1.33%,06 أغسطس 2019
166,إكسترا,4003,تجزئة السلع الكمالية,75.5,-1.05%,06 أغسطس 2019
167,عناية,8311,التأمين,10.52,-1.87%,06 أغسطس 2019
168,تكوين,1201,المواد الأساسية,7.65,0.66%,06 أغسطس 2019
169,الإنماء طوكيو م,8312,التأمين,12.2,-0.33%,06 أغسطس 2019
170,أسمنت المدينة,3003,المواد الأساسية,13.44,-2.18%,06 أغسطس 2019
171,سيرا,1810,الخدمات الإستهلاكية,17.86,0.22%,06 أغسطس 2019
172,الحمادي,4007,الرعاية الصحية,22.1,-0.63%,06 أغسطس 2019
173,دله الصحية,4004,الرعاية الصحية,52.4,0.96%,06 أغسطس 2019
174,أسمنت ام القرى,3005,المواد الأساسية,16.42,-1.08%,06 أغسطس 2019
175,الخدمات الأرضية,4031,النقل,31.05,0.00%,06 أغسطس 2019
176,أسمنت الشمالية,3004,المواد الأساسية,9.4,-1.26%,06 أغسطس 2019
177,المراكز,4321,إدارة وتطوير العقارات,27.8,-1.77%,06 أغسطس 2019
178,لازوردي,4011,السلع طويلة الاجل,17.34,0.23%,06 أغسطس 2019
179,المستشفى السعودي الألماني,4009,الرعاية الصحية,26.05,-3.34%,06 أغسطس 2019
180,عطاء,4292,الخدمات الإستهلاكية,32.1,-1.23%,06 أغسطس 2019
181,الواحة,3007,المواد الأساسية,45.15,-1.20%,06 أغسطس 2019
182,رعاية,4005,الرعاية الصحية,51,6.25%,06 أغسطس 2019
183,بوان,1302,السلع الرأسمالية,14.48,-0.14%,06 أغسطس 2019
184,مجموعة الحكير,1820,الخدمات الإستهلاكية,14.3,-0.14%,06 أغسطس 2019
185,جزيرة تكافل,8012,التأمين,17,1.31%,06 أغسطس 2019
186,الأهلي,1180,البنوك,51.5,-3.01%,06 أغسطس 2019
187,متلايف إيه أي جي العربي,8011,التأمين,18.04,-1.96%,06 أغسطس 2019
188,وقت اللياقة,1830,الخدمات الإستهلاكية,80,-0.87%,06 أغسطس 2019
189,بحر العرب,9505,التطبيقات وخدمات التقنية,11.1,-1.77%,06 أغسطس 2019
190,الأندلس,4320,إدارة وتطوير العقارات,14.74,-0.54%,06 أغسطس 2019
191,اليمامة للحديد,1304,المواد الأساسية,18.4,-0.11%,06 أغسطس 2019
192,مبكو,1202,المواد الأساسية,13.92,-1.14%,06 أغسطس 2019
193,باعظيم,9503,تجزئة السلع الكمالية,28,-3.45%,06 أغسطس 2019
194,الصناعات الكهربائية,1303,السلع الرأسمالية,15.54,-0.51%,06 أغسطس 2019
195,أسواق المزرعة,4006,تجزئة الأغذية,15.26,-0.65%,06 أغسطس 2019
196,ساكو,4008,تجزئة السلع الكمالية,63.5,-1.40%,06 أغسطس 2019
197,ريدان,9506,الخدمات الإستهلاكية,15.14,0.93%,06 أغسطس 2019
198,العمران,9502,السلع الرأسمالية,17.5,1.51%,06 أغسطس 2019
199,إم آي إس,7200,التطبيقات وخدمات التقنية,52.8,-1.68%,06 أغسطس 2019
200,ثوب الأصيل,9507,السلع طويلة الاجل,30.1,0.00%,05 أغسطس 2019
201,أبو معطي,9500,تجزئة السلع الكمالية,15.6,0.00%,16 مايو 2019
202,الوطنية للبناء والتسويق,9510,السلع الرأسمالية,360,0.00%,06 أغسطس 2019
203,التطويرية الغذائية,9501,الخدمات الإستهلاكية,87,0.00%,06 أغسطس 2019
204,الصمعاني,9504,الخدمات التجارية والمهنية,44.75,0.00%,06 أغسطس 2019
205,الكثيري,9508,المواد الأساسية,43.5,-1.14%,06 أغسطس 2019
206,الوطنية للتعليم,4291,الخدمات الإستهلاكية,26.4,-1.86%,06 أغسطس 2019
207,مهارة,1831,الخدمات التجارية والمهنية,103,0.20%,
0,سامبا,1090,البنوك,29.25,0.34%,07 أغسطس 2019
1,السعودي الفرنسي,1050,البنوك,36.6,0.83%,07 أغسطس 2019
2,الأول,1040,البنوك,19.58,1.45%,13 يونيو 2019
3,الجزيرة,1020,البنوك,14.74,0.68%,07 أغسطس 2019
4,الرياض,1010,البنوك,25.6,2.81%,07 أغسطس 2019
5,ساب,1060,البنوك,35.55,0.71%,07 أغسطس 2019
6,العربي,1080,البنوك,25.2,0.00%,07 أغسطس 2019
7,الراجحي,1120,البنوك,67,1.06%,07 أغسطس 2019
8,سيسكو,2190,النقل,15.48,0.39%,07 أغسطس 2019
9,المصافي,2030,الطاقة,38.6,1.18%,07 أغسطس 2019
10,زجاج,2150,المواد الأساسية,18.08,0.44%,07 أغسطس 2019
11,نادك,6010,إنتاج الأغذية,24.36,0.00%,07 أغسطس 2019
12,جاكو,6020,إنتاج الأغذية,11.74,0.34%,07 أغسطس 2019
13,تبوك الزراعية,6040,إنتاج الأغذية,8.84,0.45%,07 أغسطس 2019
14,دور,4010,الخدمات الإستهلاكية,18.24,0.44%,07 أغسطس 2019
15,أميانتيت,2160,السلع الرأسمالية,6.09,0.33%,07 أغسطس 2019
16,أسمنت العربية,3010,المواد الأساسية,28.65,-0.69%,07 أغسطس 2019
17,أسمنت اليمامة,3020,المواد الأساسية,19.46,-0.21%,07 أغسطس 2019
18,اللجين,2170,المواد الأساسية,23.1,0.61%,07 أغسطس 2019
19,أسمنت السعودية,3030,المواد الأساسية,68.8,2.99%,07 أغسطس 2019
20,سامبا,1090,البنوك,29.25,0.34%,07 أغسطس 2019
21,السعودي الفرنسي,1050,البنوك,36.6,0.83%,07 أغسطس 2019
22,الأول,1040,البنوك,19.58,1.45%,13 يونيو 2019
23,الجزيرة,1020,البنوك,14.74,0.68%,07 أغسطس 2019
24,الرياض,1010,البنوك,25.6,2.81%,07 أغسطس 2019
25,ساب,1060,البنوك,35.55,0.71%,07 أغسطس 2019
26,العربي,1080,البنوك,25.2,0.00%,07 أغسطس 2019
27,الراجحي,1120,البنوك,67,1.06%,07 أغسطس 2019
28,سيسكو,2190,النقل,15.48,0.39%,07 أغسطس 2019
29,المصافي,2030,الطاقة,38.6,1.18%,07 أغسطس 2019
30,زجاج,2150,المواد الأساسية,18.08,0.44%,07 أغسطس 2019
31,نادك,6010,إنتاج الأغذية,24.36,0.00%,07 أغسطس 2019
32,جاكو,6020,إنتاج الأغذية,11.74,0.34%,07 أغسطس 2019
33,تبوك الزراعية,6040,إنتاج الأغذية,8.84,0.45%,07 أغسطس 2019
34,دور,4010,الخدمات الإستهلاكية,18.24,0.44%,07 أغسطس 2019
35,أميانتيت,2160,السلع الرأسمالية,6.09,0.33%,07 أغسطس 2019
36,أسمنت العربية,3010,المواد الأساسية,28.65,-0.69%,07 أغسطس 2019
37,أسمنت اليمامة,3020,المواد الأساسية,19.46,-0.21%,07 أغسطس 2019
38,اللجين,2170,المواد الأساسية,23.1,0.61%,07 أغسطس 2019
39,أسمنت السعودية,3030,المواد الأساسية,68.8,2.99%,07 أغسطس 2019
40,أسمنت القصيم,3040,المواد الأساسية,52,0.39%,07 أغسطس 2019
41,أسمنت الجنوب,3050,المواد الأساسية,54.6,1.49%,07 أغسطس 2019
42,أسمنت ينبع,3060,المواد الأساسية,33.25,-1.04%,07 أغسطس 2019
43,أسمنت الشرقية,3080,المواد الأساسية,31.7,0.63%,07 أغسطس 2019
44,أسمنت تبوك,3090,المواد الأساسية,14,1.16%,07 أغسطس 2019
45,فيبكو,2180,المواد الأساسية,30.15,0.17%,07 أغسطس 2019
46,سابك,2010,المواد الأساسية,103.4,1.17%,07 أغسطس 2019
47,سافكو,2020,المواد الأساسية,84,0.84%,07 أغسطس 2019
48,أنابيب,2200,المواد الأساسية,10.24,0.99%,07 أغسطس 2019
49,الزامل للصناعة,2240,المواد الأساسية,16.14,0.88%,07 أغسطس 2019
50,نماء للكيماويات,2210,المواد الأساسية,20.7,-0.48%,07 أغسطس 2019
51,معدنية,2220,المواد الأساسية,15.18,1.07%,07 أغسطس 2019
52,جبسكو,2090,المواد الأساسية,11.7,0.69%,07 أغسطس 2019
53,المجموعة السعودية,2250,المواد الأساسية,23.7,0.00%,07 أغسطس 2019
54,الكيميائية,2230,الرعاية الصحية,32.2,-0.77%,07 أغسطس 2019
55,الخزف السعودي,2040,السلع الرأسمالية,22.4,0.90%,07 أغسطس 2019
56,مجموعة صافولا,2050,إنتاج الأغذية,31.85,1.92%,07 أغسطس 2019
57,التصنيع,2060,المواد الأساسية,14.66,0.14%,07 أغسطس 2019
58,الدوائية,2070,الادوية,26.1,-0.19%,07 أغسطس 2019
59,الأحساء,2140,السلع الرأسمالية,10.46,0.97%,07 أغسطس 2019
60,متطورة,2120,الإستثمار والتمويل,12.98,0.62%,07 أغسطس 2019
61,الكابلات السعودية,2110,السلع الرأسمالية,35.1,5.72%,07 أغسطس 2019
62,وفرة,2100,إنتاج الأغذية,11.52,0.00%,07 أغسطس 2019
63,الغاز,2080,المرافق العامة,29.8,0.00%,07 أغسطس 2019
64,العقارية,4020,إدارة وتطوير العقارات,11.8,0.34%,07 أغسطس 2019
65,البحري,4030,الطاقة,26.55,1.14%,07 أغسطس 2019
66,سابتكو,4040,النقل,14.3,1.13%,07 أغسطس 2019
67,ساسكو,4050,تجزئة السلع الكمالية,18.1,0.33%,07 أغسطس 2019
68,أنعام القابضة,4061,تجزئة الأغذية,8.74,0.00%,07 أغسطس 2019
69,تهامة,4070,الإعلام والترفيه,37.55,0.81%,07 أغسطس 2019
70,عسير,4080,الإستثمار والتمويل,9.3,0.98%,07 أغسطس 2019
71,طيبة,4090,إدارة وتطوير العقارات,28.25,-0.88%,07 أغسطس 2019
72,مكة,4100,إدارة وتطوير العقارات,77.8,0.00%,07 أغسطس 2019
73,باتك,4110,النقل,30.8,0.82%,07 أغسطس 2019
74,الباحة,4130,الإستثمار والتمويل,17.66,0.34%,07 أغسطس 2019
75,صادرات,4140,السلع الرأسمالية,69.4,0.58%,07 أغسطس 2019
76,التعمير,4150,إدارة وتطوير العقارات,15.12,0.13%,07 أغسطس 2019
77,ثمار,4160,تجزئة الأغذية,22.4,0.90%,07 أغسطس 2019
78,شمس,4170,الخدمات الإستهلاكية,25.7,-0.58%,07 أغسطس 2019
